time;open;high;low;close;Volume;Kolonne1
2021-02-26 22:00;2323;23255;2323;23241;4456;
2021-03-01 12:00;23533;23533;23533;23533;500;
2021-03-01 14:00;23491;23627;23317;2356;258035;
2021-03-01 16:00;2356;23724;23482;23694;452733;
2021-03-01 18:00;23693;23711;23607;23655;253538;
2021-03-01 20:00;23658;23746;23628;23696;609861;
2021-03-01 22:00;23733;23733;23733;23733;200;
2021-03-02 12:00;23612;23612;2361;2361;977;
2021-03-02 14:00;23607;23742;23414;2349;259257;
2021-03-02 16:00;23487;2359;23347;23427;506065;
2021-03-02 18:00;23418;23574;23401;23525;253593;
2021-03-02 20:00;23525;23615;2335;23391;586961;
2021-03-02 22:00;23412;23412;23387;23405;400;
2021-03-03 12:00;23481;23481;23445;23445;292;
2021-03-03 14:00;23403;23403;23054;23075;255101;
2021-03-03 16:00;23068;23156;22943;23068;484465;
2021-03-03 18:00;23064;23064;2285;22887;395107;
2021-03-03 20:00;22892;228995;22732;22744;851342;
2021-03-03 22:00;22756;22756;22739;22739;1099;
2021-03-04 00:00;2266;2266;2266;2266;200;
2021-03-04 12:00;2271;2271;2271;2271;700;
2021-03-04 14:00;2274;22918;22605;22692;286022;
2021-03-04 16:00;22684;23248;22605;23109;758565;
2021-03-04 18:00;23115;23159;22428;22435;794868;
2021-03-04 20:00;22437;22779;22436;22683;935112;
2021-03-04 22:00;22705;22705;22582;22582;401;
2021-03-05 12:00;22653;22756;22653;22753;400;
2021-03-05 14:00;22752;22985;22501;22811;339477;
2021-03-05 16:00;22812;2296;22649;22859;794479;
2021-03-05 18:00;22865;2329;22825;23211;957008;
2021-03-05 20:00;23229;23327;23082;23158;894622;
2021-03-05 22:00;23173;23173;2316;23165;1000;
2021-03-08 12:00;22856;22942;22856;22875;1300;
2021-03-08 14:00;22975;2323;22938;23007;308127;
2021-03-08 16:00;23012;23336;229495;23025;730419;
2021-03-08 18:00;23021;23139;22907;22918;533089;
2021-03-08 20:00;22913;23016;22717;22745;725860;
2021-03-08 22:00;22739;22838;22739;22801;3700;
2021-03-09 00:00;2286;2286;22795;22795;413;
2021-03-09 12:00;23217;23217;23162;23176;600;
2021-03-09 14:00;232;23408;23172;23374;314164;
2021-03-09 16:00;23379;23466;23257;23292;625333;
2021-03-09 18:00;23291;23511;23287;23483;479660;
2021-03-09 20:00;23484;23537;23342;23362;827501;
2021-03-09 22:00;2333;2335;2333;2335;355;
2021-03-10 12:00;23308;2331;23308;2331;300;
2021-03-10 14:00;23308;237;23245;23507;303082;
2021-03-10 16:00;23533;23601;23384;23513;521298;
2021-03-10 18:00;23512;23513;23224;23277;461208;
2021-03-10 20:00;23276;23353;23205;23241;610339;
2021-03-10 22:00;23187;23255;23187;23255;2816;
2021-03-11 12:00;2356;23599;2355;23598;1250;
2021-03-11 14:00;236;23673;234;23515;204152;
2021-03-11 16:00;23525;23886;23477;23868;539946;
2021-03-11 18:00;23869;23915;23778;23818;415059;
2021-03-11 20:00;23822;23848;23696;23718;592221;
2021-03-11 22:00;2372;2372;2372;2372;200;
2021-03-12 12:00;23362;23451;23362;23451;400;
2021-03-12 14:00;23422;23543;23339;23535;226051;
2021-03-12 16:00;23525;23537;23324;23458;600244;
2021-03-12 18:00;23462;23553;23432;23502;320927;
2021-03-12 20:00;23504;2358;23422;2358;569883;
2021-03-15 13:00;23649;23649;23342;23401;228394;
2021-03-15 15:00;23402;234135;23182;2328;618181;
2021-03-15 17:00;23276;23313;2325;23301;257646;
2021-03-15 19:00;23305;23502;23293;23483;448737;
2021-03-16 13:00;2358;2383;2358;2383;181771;
2021-03-16 15:00;2383;24005;23816;23959;499349;
2021-03-16 17:00;23959;23984;23775;23802;380318;
2021-03-16 19:00;23801;23924;23692;2377;604476;
2021-03-17 11:00;2359;2359;2359;2359;177;
2021-03-17 13:00;23601;23649;23419;23621;204527;
2021-03-17 15:00;23615;23654;23374;2338;408371;
2021-03-17 17:00;23381;23477;23325;23448;429815;
2021-03-17 19:00;23448;23854;23448;23711;771296;
2021-03-17 21:00;23703;23703;23657;23657;5877;
2021-03-18 11:00;23407;23407;23326;23335;1267;
2021-03-18 13:00;23352;23413;23229;23325;191160;
2021-03-18 15:00;2332;23336;23204;23238;574208;
2021-03-18 17:00;23237;23359;2318;23355;390208;
2021-03-18 19:00;23348;23352;23034;23076;1143756;
2021-03-18 21:00;23136;23136;23077;23077;1900;
2021-03-19 11:00;2315;2315;2315;2315;591;
2021-03-19 13:00;23218;23243;23028;23064;237528;
2021-03-19 15:00;23063;23158;22935;23144;629536;
2021-03-19 17:00;23144;23198;2311;23162;372919;
2021-03-19 19:00;23159;23172;230;23007;762454;
2021-03-19 21:00;23052;23066;2305;23056;5611;
2021-03-22 11:00;23225;23225;23222;23222;1000;
2021-03-22 13:00;2322;23366;23024;23356;166376;
2021-03-22 15:00;23362;23632;23334;2359;508535;
2021-03-22 17:00;23593;23689;23588;23633;314427;
2021-03-22 19:00;23632;23667;23573;23605;486791;
2021-03-22 23:00;23594;23594;23594;23594;354;
2021-03-23 13:00;2362;23893;2362;23793;140141;
2021-03-23 15:00;23784;24104;23759;2401;423810;
2021-03-23 17:00;240135;24068;23915;23984;225568;
2021-03-23 19:00;23989;24089;23708;2376;731724;
2021-03-24 13:00;23791;23796;23573;23605;207474;
2021-03-24 15:00;236;2379;23532;23649;598887;
2021-03-24 17:00;23649;23742;2358;23739;358221;
2021-03-24 19:00;23736;23761;23534;23538;577372;
2021-03-24 21:00;23567;23574;2352;23546;466;
2021-03-25 11:00;23509;23525;23481;23525;1290;
2021-03-25 13:00;23505;23679;23481;23584;181197;
2021-03-25 15:00;23586;2369;23157;23238;953850;
2021-03-25 17:00;23233;23311;23157;23228;765722;
2021-03-25 19:00;23233;23358;23163;23225;940166;
2021-03-25 21:00;23236;2326;23236;2326;267;
2021-03-25 23:00;2325;2325;2325;2325;100;
2021-03-26 11:00;2322;2322;23131;2315;557;
2021-03-26 13:00;23142;23394;2306;23318;79820;
2021-03-26 15:00;23308;23495;23245;23495;310839;
2021-03-26 17:00;23499;23544;23401;23457;333359;
2021-03-26 19:00;23455;23671;23303;23647;708941;
2021-03-26 21:00;23586;23586;23586;23586;100;
2021-03-29 14:00;23611;23677;233;23314;127658;
2021-03-29 16:00;2331;23399;23189;23363;461226;
2021-03-29 18:00;23361;23562;23312;2351;376943;
2021-03-29 20:00;23513;23531;23427;23528;456800;
2021-03-29 22:00;23504;23585;23504;2356;825;
2021-03-30 12:00;23336;23336;23312;23312;300;
2021-03-30 14:00;233;23371;23157;23224;185355;
2021-03-30 16:00;23227;23289;2311;23198;478211;
2021-03-30 18:00;23197;23245;23158;23196;302244;
2021-03-30 20:00;23195;23244;23133;23232;592763;
2021-03-31 14:00;23285;23385;2324;2338;151220;
2021-03-31 16:00;23379;236265;23379;23625;407298;
2021-03-31 18:00;23624;23684;23566;23566;243723;
2021-03-31 20:00;23565;23907;23412;23574;1159468;
2021-03-31 22:00;23643;23657;23617;23657;4408;
2021-04-01 12:00;23845;23848;23845;23848;200;
2021-04-01 14:00;23845;24142;23806;24142;326247;
2021-04-01 16:00;24145;24206;24058;24146;550080;
2021-04-01 18:00;24142;24192;24082;24174;341015;
2021-04-01 20:00;24176;24264;24124;24238;571297;
2021-04-01 22:00;24249;24261;24223;24261;2700;
2021-04-05 12:00;24191;24191;24191;24191;400;
2021-04-05 14:00;242;24729;242;24727;309963;
2021-04-05 16:00;24726;24974;24672;24884;705693;
2021-04-05 18:00;24893;24995;24889;24936;486401;
2021-04-05 20:00;24935;24956;24783;24904;633616;
2021-04-06 14:00;24858;24858;24688;24827;162821;
2021-04-06 16:00;24826;24937;24741;249355;380184;
2021-04-06 18:00;24939;249395;24795;24853;272909;
2021-04-06 20:00;24856;24905;24729;2479;452132;
2021-04-06 22:00;24805;24805;24805;24805;154;
2021-04-07 12:00;248;248;248;248;200;
2021-04-07 14:00;24785;249065;24719;2487;127006;
2021-04-07 16:00;24871;25092;24853;25007;429288;
2021-04-07 18:00;25008;25041;24942;24996;231462;
2021-04-07 20:00;24995;25072;24891;24992;428760;
2021-04-07 22:00;250;250;250;250;187;
2021-04-08 14:00;25232;25413;252;25392;262748;
2021-04-08 16:00;25396;253965;25214;25293;381329;
2021-04-08 18:00;25294;25323;25213;25323;234516;
2021-04-08 20:00;25324;253455;25289;253345;414725;
2021-04-08 22:00;2535;25393;25345;25393;3300;
2021-04-09 14:00;25272;25424;252;25417;173907;
2021-04-09 16:00;25417;25486;25372;25481;455219;
2021-04-09 18:00;25486;25507;25425;25467;300778;
2021-04-09 20:00;25467;25599;25406;25572;649355;
2021-04-09 22:00;2558;25585;2558;25585;500;
2021-04-12 14:00;25615;25694;25462;25499;165182;
2021-04-12 16:00;255025;25723;25464;25683;427129;
2021-04-12 18:00;25687;25766;25661;2568;255447;
2021-04-12 20:00;2568;25702;255275;25604;547964;
2021-04-12 22:00;2559;2559;2559;2559;100;
2021-04-13 14:00;25731;25918;25697;25894;135945;
2021-04-13 16:00;25893;25898;25683;25716;357637;
2021-04-13 18:00;25719;25809;2571;25788;287904;
2021-04-13 20:00;25787;25873;25758;25839;465592;
2021-04-13 22:00;25817;25829;25817;25829;1203;
2021-04-14 12:00;25964;25964;2595;2595;200;
2021-04-14 14:00;25941;2596;25681;25799;151935;
2021-04-14 16:00;25799;25881;25618;25685;400598;
2021-04-14 18:00;25688;25698;25571;25586;318965;
2021-04-14 20:00;25583;2565;25519;25579;604129;
2021-04-14 22:00;25559;25567;25559;25567;1400;
2021-04-15 14:00;25785;25933;25775;25851;160918;
2021-04-15 16:00;25848;25967;258;2582;360959;
2021-04-15 18:00;25821;25993;2579;25917;277623;
2021-04-15 20:00;25917;2599;25849;25955;428957;
2021-04-15 22:00;2595;2595;2595;2595;217;
2021-04-16 12:00;25972;25973;25972;25973;489;
2021-04-16 14:00;25962;26047;25764;25832;136175;
2021-04-16 16:00;25829;26052;25828;25947;340172;
2021-04-16 18:00;25947;260615;25941;25992;242744;
2021-04-16 20:00;259915;26095;259865;26057;413974;
2021-04-19 14:00;26021;26147;25932;26044;121653;
2021-04-19 16:00;260405;26075;25878;25902;460491;
2021-04-19 18:00;25899;25904;25784;2587;375498;
2021-04-19 20:00;258615;25911;2582;25882;471807;
2021-04-20 12:00;25789;25807;25789;25807;200;
2021-04-20 14:00;25803;26018;25782;25969;83345;
2021-04-20 16:00;25968;25986;25685;25739;303233;
2021-04-20 18:00;25745;25878;25725;25836;176842;
2021-04-20 20:00;25831;25849;25713;2583;334864;
2021-04-20 22:00;25775;25775;25775;25775;102;
2021-04-21 12:00;25858;25858;25858;25858;100;
2021-04-21 14:00;25825;25967;25729;25958;123160;
2021-04-21 16:00;25954;26034;2583;2599;321588;
2021-04-21 18:00;25986;25993;25892;25902;176134;
2021-04-21 20:00;25904;26067;25867;26067;419811;
2021-04-21 22:00;26038;26058;26007;26058;799;
2021-04-22 12:00;26027;2603;26012;26013;700;
2021-04-22 14:00;26006;26169;25993;26023;162133;
2021-04-22 16:00;26021;26169;25976;26049;298655;
2021-04-22 18:00;26052;26101;25571;25604;371858;
2021-04-22 20:00;25596;25748;25565;25719;499410;
2021-04-22 22:00;2575;2575;2575;2575;100;
2021-04-23 12:00;25798;25799;25798;25799;300;
2021-04-23 14:00;2579;25865;25733;25848;84032;
2021-04-23 16:00;25845;26081;25797;26047;329860;
2021-04-23 18:00;26048;2614;2602;26082;203676;
2021-04-23 20:00;26076;2615;26068;26082;671802;
2021-04-23 22:00;26068;26174;26068;26174;3695;
2021-04-24 00:00;26158;26178;26158;26178;300;
2021-04-26 12:00;26042;26055;2603;26055;400;
2021-04-26 14:00;26073;26243;26061;26129;192230;
2021-04-26 16:00;26129;26177;26046;26105;254687;
2021-04-26 18:00;26105;26145;26088;26129;139198;
2021-04-26 20:00;26124;262;26099;26151;385450;
2021-04-26 22:00;26129;26152;26129;26152;341;
2021-04-27 00:00;2616;26169;2616;26169;859;
2021-04-27 12:00;2623;2623;26204;26204;1150;
2021-04-27 14:00;26201;26206;26015;26067;125739;
2021-04-27 16:00;26074;26169;26015;26098;304460;
2021-04-27 18:00;26097;26163;26061;2614;167937;
2021-04-27 20:00;26139;26317;26103;26213;525849;
2021-04-27 22:00;26045;2617;2514;25391;191291;
2021-04-28 00:00;256;2573;255;255;1000;
2021-04-28 12:00;25597;25597;25485;25485;2455;
2021-04-28 14:00;25484;25649;2531;25466;533190;
2021-04-28 16:00;25466;25489;25309;25309;766825;
2021-04-28 18:00;25306;25523;25295;25425;395633;
2021-04-28 20:00;25426;25615;25391;25474;579564;
2021-04-28 22:00;2547;25471;25401;25401;2237;
2021-04-29 00:00;25447;25449;25447;25449;526;
2021-04-29 12:00;2553;2553;2553;2553;200;
2021-04-29 14:00;2551;25609;25423;25447;210631;
2021-04-29 16:00;25446;25446;249;24955;920638;
2021-04-29 18:00;24952;25167;24925;251;306974;
2021-04-29 20:00;251;25288;25088;25245;488136;
2021-04-29 22:00;25204;25204;25113;25113;6857;
2021-04-30 14:00;25008;25143;24945;25065;250364;
2021-04-30 16:00;25065;25308;25052;25191;480767;
2021-04-30 18:00;25187;25218;25108;25122;194368;
2021-04-30 20:00;25136;25263;2512;25219;552598;
2021-04-30 22:00;25224;25269;25218;2524;6860;
2021-05-03 14:00;25285;25364;25184;2532;65748;
2021-05-03 16:00;25312;25433;25182;25269;287098;
2021-05-03 18:00;25268;25268;25114;25141;149827;
2021-05-03 20:00;25144;25198;25132;25197;259492;
2021-05-03 22:00;25184;25184;25118;2515;4419;
2021-05-04 12:00;2511;2511;24931;2505;1200;
2021-05-04 14:00;24995;25107;2489;24915;121718;
2021-05-04 16:00;24913;24941;24577;24614;433164;
2021-05-04 18:00;2461;24707;24579;24602;250921;
2021-05-04 20:00;24603;24791;24594;24791;450382;
2021-05-04 22:00;2477;2477;24731;24731;2550;
2021-05-05 12:00;24865;24924;24865;24877;994;
2021-05-05 14:00;24919;24949;2484;24866;81678;
2021-05-05 16:00;2485;24875;24741;24859;160328;
2021-05-05 18:00;2486;248885;24724;24747;135703;
2021-05-05 20:00;24752;24757;24582;24654;336649;
2021-05-06 12:00;24641;24641;24641;24641;100;
2021-05-06 14:00;24615;24659;24469;24541;132663;
2021-05-06 16:00;24527;24847;24492;24782;285298;
2021-05-06 18:00;24783;24833;24686;24708;133553;
2021-05-06 20:00;24717;24986;24664;24972;488933;
2021-05-06 22:00;24935;24965;24935;24961;18255;
2021-05-07 14:00;2501;25422;2501;25235;166957;
2021-05-07 16:00;25247;2543;25189;25422;380710;
2021-05-07 18:00;25426;25426;25217;2522;180039;
2021-05-07 20:00;25216;25347;2519;25242;415322;
2021-05-07 22:00;25246;2526;25244;2526;1600;
2021-05-08 00:00;25256;25256;25256;25256;540;
2021-05-10 12:00;25103;25103;25103;25103;351;
2021-05-10 14:00;25148;2516;24935;25133;119623;
2021-05-10 16:00;25138;2517;24986;25035;207841;
2021-05-10 18:00;25036;25108;249565;2499;169214;
2021-05-10 20:00;24984;24986;24716;2472;523328;
2021-05-10 22:00;24719;24719;24652;24652;654;
2021-05-11 12:00;24427;24504;24408;24408;1031;
2021-05-11 14:00;24474;24525;24259;24476;227466;
2021-05-11 16:00;24479;24659;2439;24595;420547;
2021-05-11 18:00;246;24642;24467;2451;271183;
2021-05-11 20:00;24526;24649;24471;24622;462717;
2021-05-11 22:00;24603;24603;24603;24603;200;
2021-05-12 14:00;24573;24573;24203;24238;177558;
2021-05-12 16:00;24233;24233;23941;2395;607336;
2021-05-12 18:00;23944;24035;23877;23924;395204;
2021-05-12 20:00;23933;24036;2381;23906;677864;
2021-05-12 22:00;23918;23918;23876;23876;297;
2021-05-13 12:00;23889;2408;23889;2407;653;
2021-05-13 14:00;24046;24367;24046;24329;226637;
2021-05-13 16:00;24335;24558;24218;243;411947;
2021-05-13 18:00;24301;24416;24151;24229;277851;
2021-05-13 20:00;24243;24483;2424;24304;453032;
2021-05-13 22:00;24267;24267;2426;2426;9633;
2021-05-14 12:00;24565;24565;24565;24565;100;
2021-05-14 14:00;24565;24865;24525;24775;207099;
2021-05-14 16:00;24775;24819;24627;24762;351425;
2021-05-14 18:00;24762;24879;24749;248745;182971;
2021-05-14 20:00;24877;24918;24802;24802;461347;
2021-05-14 22:00;24843;249;24843;249;2000;
2021-05-15 00:00;24928;24928;24928;24928;100;
2021-05-17 12:00;24762;24762;24762;24762;100;
2021-05-17 14:00;24686;24723;245;24552;117452;
2021-05-17 16:00;24545;24566;24405;24437;373528;
2021-05-17 18:00;24435;24496;24352;24376;259890;
2021-05-17 20:00;24375;245225;24356;24517;399509;
2021-05-18 12:00;24666;24666;2466;2466;300;
2021-05-18 14:00;24654;24654;24495;24526;100084;
2021-05-18 16:00;2453;24609;24489;24506;243893;
2021-05-18 18:00;24505;24593;24505;24512;212612;
2021-05-18 20:00;24512;24533;2429;24303;481619;
2021-05-18 22:00;24283;24315;24277;24315;600;
2021-05-19 12:00;239;239;239;239;200;
2021-05-19 14:00;23909;2412;23865;24001;150599;
2021-05-19 16:00;23999;24187;23965;24148;313751;
2021-05-19 18:00;24154;24262;24133;24157;169614;
2021-05-19 20:00;24146;24323;24044;24323;419019;
2021-05-19 22:00;24313;24313;24271;24271;1200;
2021-05-20 12:00;24298;24299;24298;24299;256;
2021-05-20 14:00;24375;24643;24375;24552;147004;
2021-05-20 16:00;24552;24794;24552;24731;313164;
2021-05-20 18:00;24736;24751;2464;2473;252156;
2021-05-20 20:00;24731;24751;24617;24642;355954;
2021-05-20 22:00;2461;24622;2461;24622;5020;
2021-05-21 12:00;2472;2472;2472;2472;600;
2021-05-21 14:00;24719;24829;246585;24756;130148;
2021-05-21 16:00;24758;24777;24548;24549;263458;
2021-05-21 18:00;24549;24593;24498;24559;199385;
2021-05-21 20:00;24564;24598;24475;24522;413057;
2021-05-21 22:00;24503;24503;24503;24503;100;
2021-05-24 14:00;24673;25004;24673;24962;181187;
2021-05-24 16:00;24964;25086;24964;25067;307336;
2021-05-24 18:00;25066;25104;25005;25058;194468;
2021-05-24 20:00;25062;25115;25053;25086;404191;
2021-05-25 14:00;25176;25266;25084;25137;122257;
2021-05-25 16:00;25138;25201;25082;25169;246111;
2021-05-25 18:00;25172;25194;25095;25113;217979;
2021-05-25 20:00;251135;25186;2509;25178;379576;
